"sku","thumbnail","image","small_image"
"S38QUAN1411311012R1000","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_2.jpg"
"S38QUAN1411311012R1001","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_2.jpg"
"S38QUAN1411311012R1002","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_2.jpg"
"S38QUAN1411311012R1003","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_2.jpg"
"S38QUAN1411311012R1004","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_2.jpg"
"S38QUAN1411311012R1005","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_1.jpg","/Kenfashion/VT_006_038_2.jpg"
"S38QUAN1411311012R1006","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg"
"S38QUAN1411311012R1007","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg"
"S38QUAN1411311012R1008","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg"
"S38QUAN1411311012R1009","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg"
"S38QUAN1411311012R1010","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg"
"S38QUAN1411311012R1011","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg","/Kenfashion/VT_006_039_1.jpg"
"S38QUAN1411311012R1012","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_1.jpg"
"S38QUAN1411311012R1013","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_1.jpg"
"S38QUAN1411311012R1014","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_1.jpg"
"S38QUAN1411311012R1015","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_1.jpg"
"S38QUAN1411311012R1016","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_1.jpg"
"S38QUAN1411311012R1017","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_2.jpg","/Kenfashion/VT_006_040_1.jpg"
"S38QUAN1411311012R1018","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_1.jpg"
"S38QUAN1411311012R1019","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_1.jpg"
"S38QUAN1411311012R1020","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_1.jpg"
"S38QUAN1411311012R1021","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_1.jpg"
"S38QUAN1411311012R1022","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_1.jpg"
"S38QUAN1411311012R1023","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_2.jpg","/Kenfashion/VT_006_041_1.jpg"
"S40QUAN1412311012R1000","/Navie/QL07_1.jpg","/Navie/QL07_1.jpg","/Navie/QL07_1.jpg"
"S40QUAN1412311012R1001","/Navie/QL07_1.jpg","/Navie/QL07_1.jpg","/Navie/QL07_1.jpg"
"S40QUAN1412311012R1002","/Navie/QL07_1.jpg","/Navie/QL07_1.jpg","/Navie/QL07_1.jpg"
"S40QUAN1412311012R1003","/Navie/QL07_1.jpg","/Navie/QL07_1.jpg","/Navie/QL07_1.jpg"
"S40QUAN1412311012R1004","/Navie/QL07_1.jpg","/Navie/QL07_1.jpg","/Navie/QL07_1.jpg"
"S40QUAN1412311012R1005","/Navie/QL08_1.jpg","/Navie/QL08_1.jpg","/Navie/QL08_1.jpg"
"S40QUAN1412311012R1006","/Navie/QL08_1.jpg","/Navie/QL08_1.jpg","/Navie/QL08_1.jpg"
"S40QUAN1412311012R1007","/Navie/QL08_1.jpg","/Navie/QL08_1.jpg","/Navie/QL08_1.jpg"
"S40QUAN1412311012R1008","/Navie/QL08_1.jpg","/Navie/QL08_1.jpg","/Navie/QL08_1.jpg"
"S40QUAN1412311012R1009","/Navie/QL08_1.jpg","/Navie/QL08_1.jpg","/Navie/QL08_1.jpg"
"S40QUAN1412311012R1010","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg"
"S40QUAN1412311012R1011","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg"
"S40QUAN1412311012R1012","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg"
"S40QUAN1412311012R1013","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg"
"S40QUAN1412311012R1014","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg"
"S40QUAN1412311012R1015","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg","/Navie/QL01_1.jpg"
"S40QUAN1412311012R1016","/Navie/QL02_1.jpg","/Navie/QL02_1.jpg","/Navie/QL02_1.jpg"
"S40QUAN1412311012R1017","/Navie/QL02_1.jpg","/Navie/QL02_1.jpg","/Navie/QL02_1.jpg"
"S40QUAN1412311012R1018","/Navie/QL02_1.jpg","/Navie/QL02_1.jpg","/Navie/QL02_1.jpg"
