"sku","name","weight","manufacturer","clothing_size","material","color","dimension","category_ids","price","qty","status","visibility","tax_class_id","description","short_description","attribute_set","websites","store","type","is_in_stock","special_price","special_from_date","special_to_date"
"S43DAM0248311012R1000","Đầm thun dài Valerie Paris",0,"Yameshop","FREE","Thun","Như Hình",,"3,36,54,57",360000,10,"Hiệu lực","Catalog, Search","default"," - Chất liệu thun cotton dày , đẹp co giãn cực tốt cho bạn thoải mái và thoáng mát.Thiết kế sọc ngang ấn tượng, không ôm sát để bạn nhẹ nhàng và thoải mái hơn. 
- Dễ dàng phối hợp với nhiều phụ kiện để bạn đón ngày mới thêm tự tin, năng động.","None","Dam","base","admin","simple",1,,,
"S43DAM0248311012R1001","Đầm thun Valerie Paris",0,"Yameshop","FREE","Thun","Đen",,"3,36,54,57",240000,10,"Hiệu lực","Catalog, Search","default"," - Chất liệu thun cotton dày , đẹp co giãn cực tốt cho bạn thoải mái và thoáng mát.Thiết kế sọc ngang ấn tượng, không ôm sát để bạn nhẹ nhàng và thoải mái hơn. 
- Dễ dàng phối hợp với nhiều phụ kiện để bạn đón ngày mới thêm tự tin, năng động.","None","Dam","base","admin","simple",1,,,
"S43DAM0248311012R1002","Đầm thun Valerie Paris",0,"Yameshop","FREE","Thun","Đen",,"3,36,54,57",360000,10,"Hiệu lực","Catalog, Search","default"," - Chất liệu thun cotton dày , đẹp co giãn cực tốt cho bạn thoải mái và thoáng mát.Thiết kế sọc ngang ấn tượng, không ôm sát để bạn nhẹ nhàng và thoải mái hơn. 
- Dễ dàng phối hợp với nhiều phụ kiện để bạn đón ngày mới thêm tự tin, năng động.","None","Dam","base","admin","simple",1,,,
"S43DAM0248311012R1003","Đầm có nón Valerie Paris",0,"Yameshop","FREE","Cotton","Đen",,"3,36,54,57",396000,10,"Hiệu lực","Catalog, Search","default"," - Kiểu dáng đơn giản, nhẹ nhàng, chất liệu cotton thoáng mát, có thể diện khi dạo phố, tiệc tùng hay hẹn hò cuối tuần. 
- Đây là chiếc đầm không cần kết hợp nhiều phụ kiện vì sự đơn giản đã mang lại cho chiếc đầm sự tinh tế. ","None","Dam","base","admin","simple",1,,,
"S43DAM0248311012R1004","Đầm 2 dây Valerie Paris",0,"Yameshop","FREE","Cotton","Hồng",,"3,36,54,57",366000,10,"Hiệu lực","Catalog, Search","default"," - Kiểu dáng đơn giản, nhẹ nhàng, chất liệu cotton thoáng mát, có thể diện khi dạo phố, tiệc tùng hay hẹn hò cuối tuần. 
- Đây là chiếc đầm không cần kết hợp nhiều phụ kiện vì sự đơn giản đã mang lại cho chiếc đầm sự tinh tế. ","None","Dam","base","admin","simple",1,,,
"S48DAM0238311012R1000","Đầm hoa vintage phối ren",0,"Lfemme Boutique","FREE","Ren","Như Hình",,"3,36,54,57",290000,10,"Hiệu lực","Catalog, Search","default"," - Chất liệu cotton pha ren theo phong cách vintage tôn vẻ nữ tính nhưng cũng không kém phần năng động.
- Kết hợp với cardigan cho thu thêm dịu dàng bạn nhé.","None","Dam","base","admin","simple",1,,,
"S48DAM0238311012R1001","Đầm kaki kèm nịt",0,"Lfemme Boutique","FREE","Kaki","Nâu",,"3,36,54,57",450000,10,"Hiệu lực","Catalog, Search","default"," - Đầm bụi phủi có thiết kế đơn giản tạo cảm giác thoải mái cho bạn gái. 
 - Hơn nữa đầm có những chi tiết của áo sơ mi giúp bạn gái vẫn giữ được nét thanh lịch để tự tin khoe dáng trên phố. ","None","Dam","base","admin","simple",1,,,
"S48DAM0238311012R1002","Đầm kaki kèm nịt",0,"Lfemme Boutique","FREE","Kaki","Hồng phấn",,"3,36,54,57",450000,10,"Hiệu lực","Catalog, Search","default"," - Đầm bụi phủi có thiết kế đơn giản tạo cảm giác thoải mái cho bạn gái. 
 - Hơn nữa đầm có những chi tiết của áo sơ mi giúp bạn gái vẫn giữ được nét thanh lịch để tự tin khoe dáng trên phố. ","None","Dam","base","admin","simple",1,,,
"S48DAM0238311012R1003","Đầm kaki kèm nịt",0,"Lfemme Boutique","FREE","Kaki","Xám",,"3,36,54,57",450000,10,"Hiệu lực","Catalog, Search","default"," - Đầm bụi phủi có thiết kế đơn giản tạo cảm giác thoải mái cho bạn gái. 
 - Hơn nữa đầm có những chi tiết của áo sơ mi giúp bạn gái vẫn giữ được nét thanh lịch để tự tin khoe dáng trên phố. ","None","Dam","base","admin","simple",1,,,
"S48DAM0238311012R1004","ĐẦM BODY KHOÉT NGỰC",0,"Lfemme Boutique","M","Kaki thun","Đỏ",,"3,36,54,57",450000,10,"Hiệu lực","Catalog, Search","default"," -  Đầm đỏ Body khoét ngực gợi cảm, quyến rũ tôn đường nét hấp dẫn, trẻ trung cho bạn gái thêm tự tin và xinh xắn. 
- Gợi cảm nhưng không kém phần sang trọng đó là những ưu điểm mà chiếc đầm xinh xắn này mang lại. Thiết kế ôm sát người sẽ làm tôn thêm dáng xinh ngọc ngà của các tín đồ thời trang.","None","Dam","base","admin","simple",1,,,
