"sku","thumbnail","image","small_image"
"S43DAM0248311012R1000","/YAME/DN_004_04_1.jpg","/YAME/DN_004_04_1.jpg","/YAME/DN_004_04_1.jpg"
"S43DAM0248311012R1001","/YAME/DN_004_05_1.jpg","/YAME/DN_004_05_1.jpg","/YAME/DN_004_05_1.jpg"
"S43DAM0248311012R1002","/YAME/DN_004_06_1.jpg","/YAME/DN_004_06_1.jpg","/YAME/DN_004_06_1.jpg"
"S43DAM0248311012R1003","/YAME/DN_004_07_1.jpg","/YAME/DN_004_07_1.jpg","/YAME/DN_004_07_1.jpg"
"S43DAM0248311012R1004","/YAME/DN_004_08_1.jpg","/YAME/DN_004_08_1.jpg","/YAME/DN_004_08_1.jpg"
"S48DAM0238311012R1000","/L'Femme_boutique/_DN_013_001_2.jpg","/L'Femme_boutique/_DN_013_001_2(2).jpg",
"S48DAM0238311012R1001","/L'Femme_boutique/_DN_013_002_4_(4).jpg",,
"S48DAM0238311012R1002","/L'Femme_boutique/_DN_013_002_4.jpg","/L'Femme_boutique/_DN_013_002_4_(2).jpg","/L'Femme_boutique/_DN_013_002_4_(2).jpg"
"S48DAM0238311012R1003","/L'Femme_boutique/_DN_013_002_4_(3).jpg","/L'Femme_boutique/_DN_013_002_4_(3).jpg","/L'Femme_boutique/_DN_013_002_4_(3).jpg"
"S48DAM0238311012R1004","/L'Femme_boutique/_DN_013_006_1.jpg","/L'Femme_boutique/_DN_013_006_1.jpg","/L'Femme_boutique/_DN_013_006_1.jpg"
"S48DAM0238311012R1005","/L'Femme_boutique/_DN_013_009_1.jpg","/L'Femme_boutique/_DN_013_009_1.jpg","/L'Femme_boutique/_DN_013_009_1.jpg"
"S47DAM0246311012R1000","/Real_clothes/DN_014_001_2.jpg","/Real_clothes/DN_014_001_2_(2).jpg","/Real_clothes/DN_014_001_2_(2).jpg"
"S47DAM0246311012R1001","/Real_clothes/DN_014_002_1.jpg","/Real_clothes/DN_014_002_1.jpg","/Real_clothes/DN_014_002_1.jpg"
"S47DAM0246311012R1002","/Real_clothes/DN_014_003_1.jpg","/Real_clothes/DN_014_003_1.jpg","/Real_clothes/DN_014_003_1.jpg"
"S47DAM0246311012R1003","/Real_clothes/DN_014_005_1.jpg","/Real_clothes/DN_014_005_1.jpg","/Real_clothes/DN_014_005_1.jpg"
"S47DAM0246311012R1004","/Real_clothes/DN_014_006_1.jpg","/Real_clothes/DN_014_006_1.jpg","/Real_clothes/DN_014_006_1.jpg"
