"sku","name","weight","manufacturer","shoes_size","shoe_type","color","category_ids","status","price","qty","visibility","tax_class_id","description","short_description","thumbnail","small_image","image","attribute_set","websites","store","type","is_in_stock","special_price","special_from_date","special_to_date"
"S52GIAY1358311012R1000",322,0,"dollyvn",34,"Giày cao gót","Sọc vằn nâu","3,36,80","Hiệu lực",450000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Họa Tiết Houndstooth
Chiều cao : 12 cm
Chất liệu : Vải
Hãy dẫn đầu xu hướng thời trang với giày họa tiết sọc vằn sành điệu 322. Điểm nhấn sắc sảo tông trắng nâu và chiều cao táo bạo của 322 sẽ giúp đôi chân của bạn trông vô cùng thanh mảnh và hoàn hảo trong những bước đi đầy tự tin. Chắc chắn 322 sẽ giúp bạn nổi bật trong những bất kỳ đám đông nào.","none","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1001",322,0,"dollyvn",35,"Giày cao gót","Sọc vằn nâu","3,36,80","Hiệu lực",450000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Họa Tiết Houndstooth
Chiều cao : 12 cm
Chất liệu : Vải
Hãy dẫn đầu xu hướng thời trang với giày họa tiết sọc vằn sành điệu 322. Điểm nhấn sắc sảo tông trắng nâu và chiều cao táo bạo của 322 sẽ giúp đôi chân của bạn trông vô cùng thanh mảnh và hoàn hảo trong những bước đi đầy tự tin. Chắc chắn 322 sẽ giúp bạn nổi bật trong những bất kỳ đám đông nào.","none","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1002",322,0,"dollyvn",36,"Giày cao gót","Sọc vằn nâu","3,36,80","Hiệu lực",450000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Họa Tiết Houndstooth
Chiều cao : 12 cm
Chất liệu : Vải
Hãy dẫn đầu xu hướng thời trang với giày họa tiết sọc vằn sành điệu 322. Điểm nhấn sắc sảo tông trắng nâu và chiều cao táo bạo của 322 sẽ giúp đôi chân của bạn trông vô cùng thanh mảnh và hoàn hảo trong những bước đi đầy tự tin. Chắc chắn 322 sẽ giúp bạn nổi bật trong những bất kỳ đám đông nào.","none","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1003",322,0,"dollyvn",37,"Giày cao gót","Sọc vằn nâu","3,36,80","Hiệu lực",450000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Họa Tiết Houndstooth
Chiều cao : 12 cm
Chất liệu : Vải
Hãy dẫn đầu xu hướng thời trang với giày họa tiết sọc vằn sành điệu 322. Điểm nhấn sắc sảo tông trắng nâu và chiều cao táo bạo của 322 sẽ giúp đôi chân của bạn trông vô cùng thanh mảnh và hoàn hảo trong những bước đi đầy tự tin. Chắc chắn 322 sẽ giúp bạn nổi bật trong những bất kỳ đám đông nào.","none","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1004",322,0,"dollyvn",38,"Giày cao gót","Sọc vằn nâu","3,36,80","Hiệu lực",450000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Họa Tiết Houndstooth
Chiều cao : 12 cm
Chất liệu : Vải
Hãy dẫn đầu xu hướng thời trang với giày họa tiết sọc vằn sành điệu 322. Điểm nhấn sắc sảo tông trắng nâu và chiều cao táo bạo của 322 sẽ giúp đôi chân của bạn trông vô cùng thanh mảnh và hoàn hảo trong những bước đi đầy tự tin. Chắc chắn 322 sẽ giúp bạn nổi bật trong những bất kỳ đám đông nào.","none","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1005",322,0,"dollyvn",39,"Giày cao gót","Sọc vằn nâu","3,36,80","Hiệu lực",450000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Họa Tiết Houndstooth
Chiều cao : 12 cm
Chất liệu : Vải
Hãy dẫn đầu xu hướng thời trang với giày họa tiết sọc vằn sành điệu 322. Điểm nhấn sắc sảo tông trắng nâu và chiều cao táo bạo của 322 sẽ giúp đôi chân của bạn trông vô cùng thanh mảnh và hoàn hảo trong những bước đi đầy tự tin. Chắc chắn 322 sẽ giúp bạn nổi bật trong những bất kỳ đám đông nào.","none","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1006",322,0,"dollyvn",40,"Giày cao gót","Sọc vằn nâu","3,36,80","Hiệu lực",450000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Họa Tiết Houndstooth
Chiều cao : 12 cm
Chất liệu : Vải
Hãy dẫn đầu xu hướng thời trang với giày họa tiết sọc vằn sành điệu 322. Điểm nhấn sắc sảo tông trắng nâu và chiều cao táo bạo của 322 sẽ giúp đôi chân của bạn trông vô cùng thanh mảnh và hoàn hảo trong những bước đi đầy tự tin. Chắc chắn 322 sẽ giúp bạn nổi bật trong những bất kỳ đám đông nào.","none","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","/H/giay/3f951f_a00b696257e25fe20035a9675ec390ab.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1007",323,0,"dollyvn",34,"Giày cao gót","Hồng đậm","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng
Chiều cao : 9 cm
Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_bce4f9418b2773001c9b778bd7ac4eb8.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1008",323,0,"dollyvn",35,"Giày cao gót","Hồng đậm","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_bce4f9418b2773001c9b778bd7ac4eb8.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","Giay","base","admin","simple",1,,,
"S52GIAY1358311012R1009",323,0,"dollyvn",36,"Giày cao gót","Hồng đậm","3,36,80","Hiệu lực",650000,10,"Catalog, Search","None","Tên : Giày Cao Gót Hở Mũi Da Bóng, Chiều cao : 9 cm, Chất liệu : Da bóng
Màu sắc nóng bỏng, phong cách sang trọng và đường nét đơn giản trên chất liệu da thậ cao cấp chính là những yếu tố đặc biệt nhất của giày gót nhọn 323. Thêm vào đó, kiểu dáng thanh mảnh, điểm nhấn phần mũi giày của 323 giúp tạo cảm giác uyển chuyển và tôn thêm sự thon thả cho đôi chân của bạn.","none","/H/giay/3f951f_bce4f9418b2773001c9b778bd7ac4eb8.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","/H/giay/3f951f_6c7e15dfb2ad3e617ce61f91cd546fe2.jpg","Giay","base","admin","simple",1,,,
