"sku","image","thumbnail","small_image"
"S54DL0255311012R1000","/seahorse/U_01_01_1.jpg","/seahorse/U_01_01_2.jpg","/seahorse/U_01_01_3.jpg"
"S54DL0255311012R1001","/seahorse/U_01_02_1.jpg","/seahorse/U_01_02_2.jpg",
"S54DL0255311012R1002","/seahorse/U_01_03_1.jpg","/seahorse/U_01_03_1.jpg","/seahorse/U_01_03_1.jpg"
"S54DL0255311012R1003","/seahorse/U_01_04_1.jpg","/seahorse/U_01_04_2.jpg",
"S54DL0255311012R1004","/seahorse/U_01_05_1.jpg","/seahorse/U_01_05_2.jpg",
"S54DL0255311012R1005","/seahorse/U_01_06_1.jpg","/seahorse/U_01_06_2.jpg",
"S54DL0255311012R1006","/seahorse/U_01_07_1.jpg","/seahorse/U_01_07_2.jpg",
"S54DL0255311012R1007","/seahorse/U_01_08_1.jpg","/seahorse/U_01_08_2.jpg","/seahorse/U_01_08_3.jpg"
"S54DL0255311012R1008","/seahorse/U_01_09_1.jpg","/seahorse/U_01_09_2.jpg",
"S54DL0255311012R1009","/seahorse/U_01_10_1.jpg","/seahorse/U_01_10_2.jpg","/seahorse/U_01_10_3.jpg"
"S54DL0255311012R1010","/seahorse/U_01_11_1.jpg","/seahorse/U_01_11_2.jpg","/seahorse/U_01_11_3.jpg"
"S54DL0255311012R1011","/seahorse/U_01_12_1.jpg","/seahorse/U_01_12_2.jpg","/seahorse/U_01_12_3.jpg"
"S54DL0255311012R1012","/seahorse/U_01_13_1.jpg","/seahorse/U_01_13_1.jpg",
"S54DL0255311012R1013","/seahorse/U_01_14_1.jpg","/seahorse/U_01_14_2.jpg","/seahorse/U_01_14_3.jpg"
"S54DL0255311012R1014","/seahorse/U_01_15_1.jpg","/seahorse/U_01_15_2.jpg","/seahorse/U_01_15_3.jpg"
"S55DL0257311012R1000","/Pinkcherry/U_01_1.jpg","/Pinkcherry/U_01_2.jpg",
"S55DL0257311012R1001","/Pinkcherry/U_02_1.jpg","/Pinkcherry/U_02_1.jpg",
"S55DL0257311012R1002","/Pinkcherry/U_03_1.jpg","/Pinkcherry/U_03_2.jpg",
"S55DL0257311012R1003","/Pinkcherry/U_04_1.jpg",,
"S55DL0257311012R1004","/Pinkcherry/U_05_1.jpg","/Pinkcherry/U_05_2.jpg",
"S55DL0257311012R1005","/Pinkcherry/U_06_1.jpg",,
"S55DL0257311012R1006","/Pinkcherry/U_07_1.jpg",,
"S55DL0257311012R1007","/Pinkcherry/U_08_1.jpg",,
"S55DL0257311012R1008","/Pinkcherry/U_09_1.jpg","/Pinkcherry/U_09_2.jpg","/Pinkcherry/U_09_3.jpg"
"S55DL0257311012R1009","/Pinkcherry/U_10_1.jpg","/Pinkcherry/U_10_2.jpg",
"S55DL0257311012R1010","/Pinkcherry/U_11_1.jpg","/Pinkcherry/U_11_2.jpg",
"S55DL0257311012R1011","/Pinkcherry/U_12_1.jpg","/Pinkcherry/U_12_2.jpg","/Pinkcherry/U_12_3.jpg"
"S55DL0257311012R1012","/Pinkcherry/U_13_1.jpg","/Pinkcherry/U_13_2.jpg",
"S55DL0257311012R1013","/Pinkcherry/U_14_1.jpg","/Pinkcherry/U_14_2.jpg","/Pinkcherry/U_14_3.jpg"
"S55DL0257311012R1014","/Pinkcherry/U_15_1.jpg","/Pinkcherry/U_15_2.jpg","/Pinkcherry/U_15_3.jpg"
"S51DL0300311012R1000","/NuhoangDL/U_01_1","/NuhoangDL/U_01_2","/NuhoangDL/U_01_3"
"S51DL0300311012R1001","/NuhoangDL/U_02_1","/NuhoangDL/U_02_2","/NuhoangDL/U_02_3"
"S51DL0300311012R1002","/NuhoangDL/U_03_1","/NuhoangDL/U_03_2","/NuhoangDL/U_03_3"
"S51DL0300311012R1003","/NuhoangDL/U_04_1","/NuhoangDL/U_04_2","/NuhoangDL/U_04_3"
"S51DL0300311012R1004","/NuhoangDL/U_05_1","/NuhoangDL/U_05_2",
"S51DL0300311012R1005","/NuhoangDL/U_06_1","/NuhoangDL/U_06_2",
"S51DL0300311012R1006","/NuhoangDL/U_07_1","/NuhoangDL/U_07_2","/NuhoangDL/U_07_3"
"S51DL0300311012R1007","/NuhoangDL/U_08_1","/NuhoangDL/U_08_2","/NuhoangDL/U_08_3"
"S51DL0300311012R1008","/NuhoangDL/U_09_1","/NuhoangDL/U_09_2","/NuhoangDL/U_09_3"
"S51DL0300311012R1009","/NuhoangDL/U_10_1","/NuhoangDL/U_10_2","/NuhoangDL/U_10_3"
"S51DL0300311012R1010","/NuhoangDL/U_11_1","/NuhoangDL/U_11_2","/NuhoangDL/U_11_3"
"S51DL0300311012R1011","/NuhoangDL/U_12_1","/NuhoangDL/U_12_2","/NuhoangDL/U_12_3"
"S51DL0300311012R1012","/NuhoangDL/U_13_1","/NuhoangDL/U_13_2",
"S51DL0300311012R1013","/NuhoangDL/U_14_1","/NuhoangDL/U_14_2",
"S51DL0300311012R1014","/NuhoangDL/U_15_1","/NuhoangDL/U_15_2",
