sku,name,_store,_product_websites,_attribute_set,_type,description,color,manufacturer,material_handbag,material_shoes,price,qty,status,shirt_size,shoes_size,short_description,image,small_image,thumbnail,tax_class_id,clothing_size,weight,material,category_ids,visibility,is_in_stock,dimension,skirt_type,gender,shoe_type,root_category,country_of_manufacture,dress_type,gallery,instruction,in_depth,media_gallery,model,size_handbag,small_image_label
S49AO0035311012R1000,Áo tay xếp,admin,base,Ao,simple,"- Form áo ngắn, lệch vai, tay xếp. Một chút sexy, một chút cuốn hút nhưng cũng không kém phần trẻ trung và năng động.
- Thích hợp khi kết hợp chung với quần skinny hoặc short, cho bạn thật cá tính khi xuống phố.",Tím,F-độc shop,,,150000,99,1,,,None,/f_doc/bd_002_09_1.jpg,,/f_doc/bd_002_09_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1001,Áo lệch vai tay lửng,admin,base,Ao,simple,"- Form áo ngắn, lệch vai, tay lửng. Một chút sexy, một chút cuốn hút nhưng cũng không kém phần trẻ trung và năng động.
- Thích hợp khi kết hợp chung với quần skinny hoặc short, thêm dây đeo cổ dài và giày thể thao hoặc cao gót đều ổn.",Trắng,F-độc shop,,,150000,99,1,,,None,/f_doc/bd_002_10_1.jpg,,/f_doc/bd_002_10_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1002,Áo kẻ sọc tay xếp,admin,base,Ao,simple,"- Form áo ngắn, lệch vai, tay lửng. Một chút sexy, một chút cuốn hút nhưng cũng không kém phần trẻ trung và năng động.
- Thích hợp khi kết hợp chung với quần skinny hoặc short, thêm dây đeo cổ dài và giày thể thao hoặc cao gót đều ổn.",Như hình,F-độc shop,,,150000,99,1,,,None,/f_doc/bd_002_11_2.jpg,/f_doc/bd_002_11_2__2_.jpg,/f_doc/bd_002_11_2.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1003,Áo thun ôm dáng,admin,base,Ao,simple,"- Form áo body cực chuẩn, giúp bạn gái tôn lên từng đường cong, không bao giờ lỗi mốt. Thích hợp với những bạn từ 45 kg-54 kg. 
- Cực dễ kết hợp quần áo, với jeans, skinny, váy, maxi đều ổn.",Cafe sữa,F-độc shop,,,170000,99,1,,,None,/f_doc/bd_002_12_1.jpg,,/f_doc/bd_002_12_1.jpg,0,FREE,0,Thun,36.46,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1004,Áo thun dáng ôm cổ trái tim,admin,base,Ao,simple,"- Form áo body cực chuẩn, cổ khoét sâu thêm phần sexy, giúp bạn gái tôn lên từng đường cong, không bao giờ lỗi mốt. Thích hợp với những bạn từ 45 kg-54 kg. 
- Cực dễ kết hợp quần áo, với jeans, skinny, váy, maxi đều ổn.",Trắng,F-độc shop,,,180000,99,1,,,None,/f_doc/bd_002_13_1.jpg,,/f_doc/bd_002_13_1.jpg,0,FREE,0,Thun,36.46,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1005,Áo thun khoét tay,admin,base,Ao,simple,"- Áo cánh dơi, hở tay, cổ khoét sâu, thích hợp với nhiều dáng người, tuy nhiên đối với những bạn gái có thân hình tròn trịa thì áo cánh dơi sẽ là một công cụ dấu khuyết điểm hiệu quả.
- Chuẩn nhất khi kết hợp chung với jeans, skinny và giày cao gót nhé.",Vàng,F-độc shop,,,200000,99,1,,,None,/f_doc/bd_002_14_1.jpg,,/f_doc/bd_002_14_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1006,Áo thun dáng ôm tay dài,admin,base,Ao,simple,"- Form áo body cực chuẩn, cổ khoét sâu thêm phần sexy, giúp bạn gái tôn lên từng đường cong, không bao giờ lỗi mốt. Thích hợp với những bạn từ 45 kg-54 kg. 
- Cực dễ kết hợp quần áo, với jeans, skinny, váy, maxi đều ổn.",Đỏ,F-độc shop,,,170000,99,1,,,None,/f_doc/bd_002_15_1.jpg,,/f_doc/bd_002_15_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1007,Áo thun dáng ôm cài nút,admin,base,Ao,simple,"- Form áo body cực chuẩn, cổ khoét sâu thêm phần sexy, giúp bạn gái tôn lên từng đường cong, không bao giờ lỗi mốt. Thích hợp với những bạn từ 45 kg-54 kg. 
- Cực dễ kết hợp quần áo, với jeans, skinny, váy, maxi đều ổn.",Xanh đen,F-độc shop,,,170000,99,1,,,None,/f_doc/bd_002_16_1.jpg,,/f_doc/bd_002_16_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1008,Áo thun cánh dơi tay dài,admin,base,Ao,simple,"- Áo cánh dơi, hở tay, cổ khoét sâu, thích hợp với nhiều dáng người, tuy nhiên đối với những bạn gái có thân hình tròn trịa thì áo cánh dơi sẽ là một công cụ dấu khuyết điểm hiệu quả.
- Chuẩn nhất khi kết hợp chung với jeans, skinny và giày cao gót nhé.",Xanh lam,F-độc shop,,,160000,99,1,,,None,/f_doc/bd_002_17_1.jpg,,/f_doc/bd_002_17_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1009,Áo thun kẻ sọc,admin,base,Ao,simple,"- Áo tay dài giả 2 lớp, form rộng. Cực kì teen, không những trẻ trung mà còn thoải mái, năng động. 
 - Kết hợp với short hoặc lửng cùng một đôi sneakers thì còn gì bằng cho ngày thu mát mẻ nhỉ.",Như hình,F-độc shop,,,160000,99,1,,,None,/f_doc/bd_002_19_1.jpg,,/f_doc/bd_002_19_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1010,Áo thun cổ tròn,admin,base,Ao,simple,"-  Áo thun tay dài, form thụng, năng động, trẻ trung, thích hợp với những bạn từ 45kg-55kg.
 - Kiểu dáng đơn giản nhưng không bao giờ lỗi thời, kết hợp với jeans hoặc short, thêm giày thể thao sẽ giúp bạn trông thật cá tính đấy.",Xám,F-độc shop,,,150000,99,1,,,None,/f_doc/bd_002_20_1.jpg,,/f_doc/bd_002_20_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1011,Áo thun con cú,admin,base,Ao,simple,"-  Áo thun tay dài, form thụng, năng động, trẻ trung, thích hợp với những bạn từ 45kg-55kg.
 - Kiểu dáng đơn giản nhưng không bao giờ lỗi thời, kết hợp với jeans hoặc short, thêm giày thể thao sẽ giúp bạn trông thật cá tính đấy.",Trắng,F-độc shop,,,130000,99,1,,,None,/f_doc/bd_002_21_1.jpg,,/f_doc/bd_002_21_1.jpg,0,FREE,0,Thun,36.46,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1012,Áo thun dáng dài,admin,base,Ao,simple,"- Áo thun form dài, free  size, thân áo xòe rộng, vừa cá tính vừa năng động.
- Kết hợp với jeans, skinny màu, legging, hay short đều ổn nhé.",Trắng,F-độc shop,,,120000,99,1,,,None,/f_doc/bd_002_22_1.jpg,,/f_doc/bd_002_22_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1013,Aó thun cánh dơi,admin,base,Ao,simple,"- Nếu bạn sở hữu một đôi chân dài, thon, thì tại sao lại không tận dụng lợi thế này bằng một chiếc jupe ngắn mặc cùng chiếc áo này.  Nó khiến bạn trẻ trung, sành điệu và rất quyến rũ. Tất nhiên, váy ngắn chỉ dành cho những cô nàng sở hữu cặp chân thon, d",Cam,F-độc shop,,,110000,99,1,,,None,/f_doc/bd_002_23_1.jpg,,/f_doc/bd_002_23_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1014,Áo thun khoét vai,admin,base,Ao,simple,"- Form áo dài, khoét vai, free size thích hợp cho nhiều vóc dáng.
-  Bạn có thể mặc kết hợp với các loại trang phục khác đều phù hợp mang đến sự tự tinh trẻ trung",Hồng,F-độc shop,,,150000,99,1,,,None,/f_doc/bd_002_24_1.jpg,,/f_doc/bd_002_24_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
S49AO0035311012R1015,Áo thun sọc ngang,admin,base,Ao,simple,"- Form áo dài, khoét vai, free size thích hợp cho nhiều vóc dáng.
-  Bạn có thể mặc kết hợp với các loại trang phục khác đều phù hợp mang đến sự tự tinh trẻ trung",Đen,F-độc shop,,,150000,99,1,,,None,/f_doc/bd_002_25_1.jpg,,/f_doc/bd_002_25_1.jpg,0,FREE,0,Thun,36.49,4,1,,,,,muafast,,,,,,inner,,,
